well,name,formula,class,neutral_mono_mass,supplier_stated_mass,supplier_error_ppm,expected_polarity,expected_adduct,expected_mz,note
A1,5α-Cholestane,C27H48,hydrocarbon,372.37560,372.37560,-0.0,none,,,⚠ pure hydrocarbon — will not ionise by ESI in either polarity
A2,7-Dehydrocholesterol,C27H44O,sterol,384.33922,384.33922,+0.0,Pos,[M+H-H2O]+,367.33593,
A3,5β-Cholestan-3α-ol,C27H48O,sterol,388.37052,388.37052,+0.0,Pos,[M+H-H2O]+,371.36723,
A4,Deoxycholic acid,C24H40O4,bile acid,392.29266,392.29266,+0.0,Neg,[M-H]-,391.28538,
A5,Brassicasterol,C28H46O,sterol,398.35487,398.35487,+0.0,Pos,[M+H-H2O]+,381.35158,
A6,7α-Hydroxy-4-cholesten-3-one,C27H44O2,oxysterol,400.33413,400.33413,-0.0,Pos,[M+H-H2O]+,383.33084,
A7,7β-Hydroxycholesterol,C27H46O2,oxysterol,402.34978,402.34978,-0.0,Pos,[M+H-H2O]+,385.34649,
A8,Allocholic acid,C24H40O5,bile acid,408.28757,408.28757,-0.0,Neg,[M-H]-,407.28030,
A9,Diosgenin,C27H42O3,oxysterol,414.31340,414.31339,-0.0,Pos,[M+H-H2O]+,397.31011,
A10,7α-hydroxy-3-oxo-4-cholestenoic acid,C27H42O4,bile acid,430.30831,430.30831,+0.0,Neg,[M-H]-,429.30103,
A11,Glycochenodeoxycholic acid,C26H43NO5,glycine-conj bile acid,449.31412,449.31410,-0.1,Neg,[M-H]-,448.30685,
A12,Taurocholic acid,C26H45NO7S,taurine-conj bile acid,515.29167,515.29167,-0.0,Neg,[M-H]-,514.28440,
B1,Cortisone,C21H28O5,steroid hormone,360.19367,360.19367,-0.0,Pos,[M+H]+,361.20095,
B2,Cholesterol,C27H46O,sterol,386.35487,386.35487,+0.0,Pos,[M+H-H2O]+,369.35158,
B3,Coprostanol,C27H48O,sterol,388.37052,388.37052,+0.0,Pos,[M+H-H2O]+,371.36723,
B4,7-Ketocholesterol,C27H44O2,oxysterol,400.33413,400.33413,-0.0,Pos,[M+H-H2O]+,383.33084,
B5,"Cholesterol 5α,6α-epoxide",C27H46O2,oxysterol,402.34978,402.34979,+0.0,Pos,[M+H-H2O]+,385.34649,
B6,Beta-Muricholic acid,C24H40O5,bile acid,408.28757,408.28757,-0.0,Neg,[M-H]-,407.28030,
B7,Cholesteryl acetate,C29H48O2,cholesteryl ester,428.36543,428.36543,-0.0,Pos,[M+NH4]+,446.39925,
B8,Cholesteryl palmitate,C43H76O2,cholesteryl ester,624.58453,624.58453,-0.0,Pos,[M+NH4]+,642.61835,
B9,Cholesteryl linoleate,C45H76O2,cholesteryl ester,648.58453,648.58453,-0.0,Pos,[M+NH4]+,666.61835,
B10,Cholesteryl oleate,C45H78O2,cholesteryl ester,650.60018,650.60018,-0.0,Pos,[M+NH4]+,668.63400,
B11,Cholesteryl stearate,C45H80O2,cholesteryl ester,652.61583,652.61583,-0.0,Pos,[M+NH4]+,670.64965,
B12,Cholesteryl behenate,C49H88O2,cholesteryl ester,708.67843,708.67843,-0.0,Pos,[M+NH4]+,726.71226,
C1,Desmosterol,C27H44O,sterol,384.33922,384.33922,+0.0,Pos,[M+H-H2O]+,367.33593,
C2,Lathosterol,C27H46O,sterol,386.35487,386.35487,+0.0,Pos,[M+H-H2O]+,369.35158,
C3,Dihydrocholesterol,C27H48O,sterol,388.37052,388.37052,+0.0,Pos,[M+H-H2O]+,371.36723,
C4,7-Ketodeoxycholic acid,C24H38O5,bile acid,406.27192,406.27192,-0.0,Neg,[M-H]-,405.26465,
C5,Chenodeoxycholic acid,C24H40O4,bile acid,392.29266,392.29266,+0.0,Neg,[M-H]-,391.28538,
C6,Ergosterol,C28H44O,sterol,396.33922,396.33922,+0.0,Pos,[M+H-H2O]+,379.33593,
C7,Campesterol,C28H48O,sterol,400.37052,400.69100,+800.5,Pos,[M+H-H2O]+,383.36723,"⚠ supplier mass is an average MW, not monoisotopic — use the computed value"
C8,24-Hydroxychloesterol,C27H46O2,oxysterol,402.34978,402.34978,-0.0,Pos,[M+H-H2O]+,385.34649,
C9,Cholic acid,C24H40O5,bile acid,408.28757,408.28757,-0.0,Neg,[M-H]-,407.28030,
C10,Stigmasterol,C29H48O,sterol,412.37052,412.37052,+0.0,Pos,[M+H-H2O]+,395.36723,
C11,β-Sitosterol,C29H50O,sterol,414.38617,414.38617,+0.0,Pos,[M+H-H2O]+,397.38288,
C12,Lanosterol,C30H50O,sterol,426.38617,426.38617,+0.0,Pos,[M+H-H2O]+,409.38288,
D1,Acetyl-DL-carnitine,C9H17NO4,acylcarnitine,203.11576,203.11576,+0.0,Pos,[M+H]+,204.12303,
D2,2-Methylbutyroylcarnitine,C12H23NO4,acylcarnitine,245.16271,245.16271,+0.0,Pos,[M+H]+,246.16998,
D3,Malonyl-carnitine,C10H17NO6,acylcarnitine,247.10559,247.10559,+0.0,Pos,[M+H]+,248.11286,
D4,Hexanoylcarnitine,C13H25NO4,acylcarnitine,259.17836,259.17836,+0.0,Pos,[M+H]+,260.18563,
D5,Dehydrolithocholic acid,C24H38O3,bile acid,374.28210,374.28210,+0.0,Neg,[M-H]-,373.27482,
D6,7-Ketochenodeoxycholate,C24H38O4,bile acid,390.27701,390.27701,+0.0,Neg,[M-H]-,389.26973,
D7,Hyodeoxycholic acid,C24H40O4,bile acid,392.29266,392.29266,+0.0,Neg,[M-H]-,391.28538,
D8,Dehydrocholic acid,C24H34O5,bile acid,402.24062,402.24063,+0.0,Neg,[M-H]-,401.23335,
D9,Alpha-Muricholic acid,C24H40O5,bile acid,408.28757,408.28757,-0.0,Neg,[M-H]-,407.28030,
D10,Glycolithocholic acid,C26H43NO4,glycine-conj bile acid,433.31921,433.31921,+0.0,Neg,[M-H]-,432.31193,
D11,Glycoursodeoxycholic acid,C26H43NO5,glycine-conj bile acid,449.31412,449.31412,-0.0,Neg,[M-H]-,448.30685,
D12,Glycocholic acid,C26H43NO6,glycine-conj bile acid,465.30904,465.30904,+0.0,Neg,[M-H]-,464.30176,
E1,Hydroxybutyrylcarnitine,C11H21NO5,acylcarnitine,247.14197,247.14197,-0.0,Pos,[M+H]+,248.14925,
E2,Corticosterone,C21H30O4,steroid hormone,346.21441,346.21441,+0.0,Pos,[M+H]+,347.22169,
E3,Lithocholic acid,C24H40O3,bile acid,376.29775,376.29775,+0.0,Neg,[M-H]-,375.29047,
E4,Nordeoxycholic acid,C23H38O4,bile acid,378.27701,378.27701,+0.0,Neg,[M-H]-,377.26973,
E5,Murideoxycholic acid,C24H40O4,bile acid,392.29266,392.29266,+0.0,Neg,[M-H]-,391.28538,
E6,25-Hydroxycholesterol,C27H46O2,oxysterol,402.34978,402.34978,-0.0,Pos,[M+H-H2O]+,385.34649,
E7,12-Ketochenodeoxycholic acid,C24H38O5,bile acid,406.27192,406.27192,-0.0,Neg,[M-H]-,405.26465,
E8,Gama-Muricholic acid,C24H40O5,bile acid,408.28757,408.28757,-0.0,Neg,[M-H]-,407.28030,
E9,Coprocholic Acid,C27H46O5,bile acid,450.33452,450.33452,-0.0,Neg,[M-H]-,449.32725,
E10,Taurolithocholic acid,C26H45NO5S,taurine-conj bile acid,483.30184,483.30184,-0.0,Neg,[M-H]-,482.29457,
E11,Taurodeoxycholic acid,C26H45NO6S,taurine-conj bile acid,499.29676,499.29676,+0.0,Neg,[M-H]-,498.28948,
E12,Tauro-β-muricholic acid,C26H45NO7S,taurine-conj bile acid,515.29167,515.29167,-0.0,Neg,[M-H]-,514.28440,
F1,Butanoylcarnitine,C11H21NO4,acylcarnitine,231.14706,231.14706,+0.0,Pos,[M+H]+,232.15433,
F2,Adipoyl-L-carnitine,C13H23NO6,acylcarnitine,289.15254,289.15254,+0.0,Pos,[M+H]+,290.15981,
F3,Decadienoylcarnitine,C17H29NO4,acylcarnitine,311.20966,311.20966,+0.0,Pos,[M+H]+,312.21693,
F4,Decanoyl-L-carnitine,C17H33NO4,acylcarnitine,315.24096,315.24096,+0.0,Pos,[M+H]+,316.24824,
F5,Dodecenoylcarnitine,C19H35NO4,acylcarnitine,341.25661,341.25661,+0.0,Pos,[M+H]+,342.26389,
F6,Dodecanoylcarnitine,C19H37NO4,acylcarnitine,343.27226,343.27226,+0.0,Pos,[M+H]+,344.27954,
F7,Ursodeoxycholic acid,C24H40O4,bile acid,392.29266,392.29266,+0.0,Neg,[M-H]-,391.28538,
F8,27-Hydroxycholesterol,C27H46O2,oxysterol,402.34978,402.34978,-0.0,Pos,[M+H-H2O]+,385.34649,
F9,Ursocholic acid,C24H40O5,bile acid,408.28757,408.28757,-0.0,Neg,[M-H]-,407.28030,
F10,Tauroursodeoxycholic acid,C26H45NO6S,taurine-conj bile acid,499.29676,499.29676,+0.0,Neg,[M-H]-,498.28948,
F11,Arachidonyl-L-carnitine,C31H54NO4,acylcarnitine,504.40528,504.40528,-0.0,Pos,[M+H]+,505.41256,
F12,Tauromuricholic acid,C26H45NO7S,taurine-conj bile acid,515.29167,515.29167,-0.0,Neg,[M-H]-,514.28440,
G1,L-Cartinine,C7H15NO3,acylcarnitine,161.10519,161.10519,-0.0,Pos,[M+H]+,162.11247,
G2,Isobutyryl-L-carnitine,C11H21NO4,acylcarnitine,231.14706,231.14706,+0.0,Pos,[M+H]+,232.15433,
G3,Isovaleryl-L-carnitine,C12H23NO4,acylcarnitine,245.16271,245.16271,+0.0,Pos,[M+H]+,246.16998,
G4,Glutarylcarnitine,C12H21NO6,acylcarnitine,275.13689,275.13689,+0.0,Pos,[M+H]+,276.14416,
G5,3-hydroxydodecanoyl carnitine,C19H37NO5,acylcarnitine,359.26717,359.26717,-0.0,Pos,[M+H]+,360.27445,
G6,Propionyl-L-carnitine,C10H19NO4,acylcarnitine,217.13141,217.13141,+0.0,Pos,[M+H]+,218.13868,
G7,Hexadecanoylcarnitine,C23H45NO4,acylcarnitine,399.33486,399.33486,+0.0,Pos,[M+H]+,400.34214,
G8,7α-Hydroxycholesterol,C27H46O2,oxysterol,402.34978,402.34978,-0.0,Pos,[M+H-H2O]+,385.34649,
G9,3-Hydroxyhexadecanoylcarnitine,C23H45NO5,acylcarnitine,415.32977,415.32977,-0.0,Pos,[M+H]+,416.33705,
G10,Linoleyl carnitine,C25H45NO4,acylcarnitine,423.33486,423.33486,+0.0,Pos,[M+H]+,424.34214,
