well,name,supplier_short,formula,neutral_mono_mass,expected_mz_[M-H]-,our_notation,carbons,double_bonds,rt_anchor,anchor_note
A1,Mesaconic acid,(E)-2-Me-4:1 di-acid,C5H6O4,130.02661,129.01933,,5,,no,not a plain fatty acid — extra oxygens or heteroatoms
A2,Myristoleic acid,C14:1,C14H26O2,226.19328,225.18600,FA 14:1,14,1,yes,
A3,Isomyristic acid,12-Me-13:0,C14H28O2,228.20893,227.20165,FA 14:0,14,0,no,another compound is the canonical FA 14:0: Myristic acid
A4,2-Hydroxymyristic acid,2-OH-14:0,C14H28O3,244.20384,243.19657,,14,,no,not a plain fatty acid — extra oxygens or heteroatoms
A5,Isopalmitic acid,14-Me-15:0,C16H32O2,256.24023,255.23295,FA 16:0,16,0,no,another compound is the canonical FA 16:0: Palmitic acid
A6,14-Methylpalmitic acid,14-Me-16:0,C17H34O2,270.25588,269.24860,FA 17:0,17,0,no,another compound is the canonical FA 17:0: Margaric acid
A7,2-Hydroxyhexadecanoic acid,11-OH-16:0,C16H32O3,272.23514,271.22787,,16,,no,not a plain fatty acid — extra oxygens or heteroatoms
A8,Isostearic acid,16-Me-17:0,C18H36O2,284.27153,283.26425,FA 18:0,18,0,no,another compound is the canonical FA 18:0: Stearic acid
A9,17-Methylstearic acid,17-Me-18:0,C19H38O2,298.28718,297.27990,FA 19:0,19,0,no,another compound is the canonical FA 19:0: Nonadecanoic acid
A10,trans-11-Eicosenoic acid,C20:1,C20H38O2,310.28718,309.27990,FA 20:1,20,1,no,another compound is the canonical FA 20:1: Gondoic acid
A11,Docosapentaenoic acid,C-22:5,C22H34O2,330.25588,329.24860,FA 22:5,22,5,no,another compound is the canonical FA 22:5: DPA n-3
A12,Heptacosanoic acid,C27:0,C27H54O2,410.41238,409.40510,FA 27:0,27,0,yes,
B1,alpha-Linolenic acid,C18:3,C18H30O2,278.22458,277.21730,FA 18:3,18,3,yes,
B2,Oleic acid,C18:1,C18H34O2,282.25588,281.24860,FA 18:1,18,1,yes,
B3,Dihomo-g-linolenic acid,C20:3,C20H34O2,306.25588,305.24860,FA 20:3,20,3,yes,
B4,Eicosadienoic acid,C20:2,C20H36O2,308.27153,307.26425,FA 20:2,20,2,yes,
B5,Phytanic acid,C20:0,C20H40O2,312.30283,311.29555,FA 20:0,20,0,no,another compound is the canonical FA 20:0: Arachidic acid
B6,Heneicosanoic acid,C21:0,C21H42O2,326.31848,325.31120,FA 21:0,21,0,yes,
B7,Behenic acid,C22:0,C22H44O2,340.33413,339.32685,FA 22:0,22,0,yes,
B8,Tricosanoic acid,C23:0,C23H46O2,354.34978,353.34250,FA 23:0,23,0,yes,
B9,Nervonic acid,C24:1,C24H46O2,366.34978,365.34250,FA 24:1,24,1,yes,
B10,Lignoceric acid,C24:0,C24H48O2,368.36543,367.35815,FA 24:0,24,0,yes,
B11,Pentacosanoic acid,C25:0,C25H50O2,382.38108,381.37380,FA 25:0,25,0,yes,
B12,Montanic acid,C28:0,C28H56O2,424.42803,423.42075,FA 28:0,28,0,yes,
C1,Valeric acid,C5:0,C5H10O2,102.06808,101.06080,FA 5:0,5,0,yes,
C2,Cis-2-Decenoic acid,C10:1,C10H18O2,170.13068,169.12340,FA 10:1,10,1,no,another compound is the canonical FA 10:1: Caproleic acid
C3,Undecanoic acid,C11:0,C11H22O2,186.16198,185.15470,FA 11:0,11,0,yes,
C4,Tridecanoic acid,C13:0,C13H26O2,214.19328,213.18600,FA 13:0,13,0,yes,
C5,Myristic acid,C14:0,C14H28O2,228.20893,227.20165,FA 14:0,14,0,yes,
C6,iso-Heptadecanoic acid,15Me-16:0,C17H34O2,270.25588,269.24860,FA 17:0,17,0,no,another compound is the canonical FA 17:0: Margaric acid
C7,Sterculic acid,C19:1,C19H34O2,294.25588,293.24860,FA 19:2,19,2,yes,
C8,Eicosapentaenoic acid,C20:5,C20H30O2,302.22458,301.21730,FA 20:5,20,5,yes,
C9,Gondoic acid,C20:1,C20H38O2,310.28718,309.27990,FA 20:1,20,1,yes,
C10,Arachidic acid,C20:0,C20H40O2,312.30283,311.29555,FA 20:0,20,0,yes,
C11,DPA n-3,C22:5,C22H34O2,330.25588,329.24860,FA 22:5,22,5,yes,
C12,Melissic acid,C30:0,C30H60O2,452.45933,451.45205,FA 30:0,30,0,yes,
D1,2-Ethylacrylic acid,"2-Ethyl,2-3:1",C5H8O2,100.05243,99.04515,FA 5:1,5,1,no,another compound is the canonical FA 5:1: Tiglic acid
D2,2-Methylbutyric acid,2-Me-4:0,C5H10O2,102.06808,101.06080,FA 5:0,5,0,no,another compound is the canonical FA 5:0: Valeric acid
D3,2-Methyl-4-pentenoic acid,"2-Me,4e-5:1",C6H10O2,114.06808,113.06080,FA 6:1,6,1,no,another compound is the canonical FA 6:1: 3-Hexenoic acid
