set,polarity,file,spectra,identical,tie,dot_identical
Set 1,Pos,Acat1_KO_C1_01,797,792,5,797
Set 1,Pos,Acat1_KO_C1_02,913,901,12,913
Set 1,Pos,Acat1_KO_C1_03,867,860,7,867
Set 1,Pos,Acat1_KO_C3_01,857,846,11,857
Set 1,Pos,Acat1_KO_C3_02,870,855,15,870
Set 1,Pos,Acat1_KO_C3_03,813,799,14,813
Set 1,Pos,Acat1_KO_F1_01,898,884,14,898
Set 1,Pos,Acat1_KO_F1_02,739,730,9,739
Set 1,Pos,Acat1_KO_F1_03,848,841,7,848
Set 1,Pos,Acat1_KO_F3_01,917,901,16,917
Set 1,Pos,Acat1_KO_F3_02,942,927,15,942
Set 1,Pos,Acat1_KO_F3_03,898,890,8,898
Set 1,Pos,Blank_01,170,170,0,170
Set 1,Pos,Blank_02,361,355,6,361
Set 1,Pos,Blank_03,243,241,2,243
Set 1,Pos,Parental_C_01,685,678,7,685
Set 1,Pos,Parental_C_02,684,682,2,684
Set 1,Pos,Parental_C_03,729,727,2,729
Set 1,Pos,Parental_F_01,764,757,7,764
Set 1,Pos,Parental_F_02,871,862,9,871
Set 1,Pos,Parental_F_03,809,807,2,809
Set 1,Neg,Acat1_KO_C1_01,359,359,0,359
Set 1,Neg,Acat1_KO_C1_03,401,401,0,401
Set 2,Pos,Blank_Pos,106,106,0,106
Set 2,Pos,NIST_Pos_01,823,806,15,821
Set 2,Pos,NIST_Pos_02,917,901,14,915
Set 2,Pos,NIST_Pos_03,982,965,14,979
Set 2,Neg,NIST_Neg_01,218,218,0,218
Set 2,Neg,NIST_Neg_02,213,213,0,213
Set 2,Neg,NIST_Neg_03,218,218,0,218
Set 2,Neg,Blank_Neg,8,8,0,8
