set,polarity,kind,dot
Set 1,Pos,target,987
Set 1,Pos,target,10
Set 1,Pos,target,952
Set 1,Pos,target,956
Set 1,Pos,target,962
Set 1,Pos,target,926
Set 1,Pos,target,690
Set 1,Pos,target,80
Set 1,Pos,target,646
Set 1,Pos,target,775
Set 1,Pos,target,910
Set 1,Pos,target,239
Set 1,Pos,target,465
Set 1,Pos,target,398
Set 1,Pos,target,109
Set 1,Pos,target,999
Set 1,Pos,target,425
Set 1,Pos,target,749
Set 1,Pos,target,796
Set 1,Pos,target,124
Set 1,Pos,target,994
Set 1,Pos,target,771
Set 1,Pos,target,204
Set 1,Pos,decoy,2
Set 1,Pos,target,689
Set 1,Pos,target,802
Set 1,Pos,target,931
Set 1,Pos,target,298
Set 1,Pos,target,158
Set 1,Pos,target,415
Set 1,Pos,target,1
Set 1,Pos,target,853
Set 1,Pos,target,405
Set 1,Pos,target,484
Set 1,Pos,target,177
Set 1,Pos,target,774
Set 1,Pos,target,626
Set 1,Pos,target,930
Set 1,Pos,target,892
Set 1,Pos,target,181
Set 1,Pos,target,984
Set 1,Pos,target,880
Set 1,Pos,target,486
Set 1,Pos,target,293
Set 1,Pos,target,898
Set 1,Pos,target,19
Set 1,Pos,target,306
Set 1,Pos,target,964
Set 1,Pos,target,725
Set 1,Pos,target,859
Set 1,Pos,target,965
Set 1,Pos,target,991
Set 1,Pos,target,945
Set 1,Pos,target,654
Set 1,Pos,target,991
Set 1,Pos,target,816
Set 1,Pos,target,998
Set 1,Pos,target,828
Set 1,Pos,target,993
Set 1,Pos,target,77
Set 1,Pos,target,906
Set 1,Pos,target,83
Set 1,Pos,target,267
Set 1,Pos,target,933
Set 1,Pos,target,9
Set 1,Pos,target,907
Set 1,Pos,target,893
Set 1,Pos,target,946
Set 1,Pos,target,943
Set 1,Pos,target,95
Set 1,Pos,target,995
Set 1,Pos,target,940
Set 1,Pos,target,1000
Set 1,Pos,target,822
Set 1,Pos,target,996
Set 1,Pos,target,139
Set 1,Pos,target,965
Set 1,Pos,target,25
Set 1,Pos,target,937
Set 1,Pos,target,942
Set 1,Pos,target,942
Set 1,Pos,target,997
Set 1,Pos,target,945
Set 1,Pos,target,908
Set 1,Pos,target,826
Set 1,Pos,target,955
Set 1,Pos,target,972
Set 1,Pos,target,10
Set 1,Pos,target,993
Set 1,Pos,target,975
Set 1,Pos,target,951
Set 1,Pos,target,976
Set 1,Pos,target,944
Set 1,Pos,target,897
Set 1,Pos,target,908
Set 1,Pos,target,986
Set 1,Pos,target,978
Set 1,Pos,target,993
Set 1,Pos,target,995
Set 1,Pos,target,986
Set 1,Pos,target,987
Set 1,Pos,target,1
Set 1,Pos,target,983
Set 1,Pos,target,3
Set 1,Pos,target,992
Set 1,Pos,target,986
Set 1,Pos,target,971
Set 1,Pos,target,975
Set 1,Pos,target,995
Set 1,Pos,target,985
Set 1,Pos,target,987
Set 1,Pos,target,990
Set 1,Pos,target,995
Set 1,Pos,target,833
Set 1,Pos,target,995
Set 1,Pos,target,994
Set 1,Pos,target,996
Set 1,Pos,target,894
Set 1,Pos,target,940
Set 1,Pos,target,995
Set 1,Pos,target,899
Set 1,Pos,target,955
Set 1,Pos,target,996
Set 1,Pos,target,852
Set 1,Pos,target,1000
Set 1,Pos,target,996
Set 1,Pos,target,62
Set 1,Pos,target,912
Set 1,Pos,target,999
Set 1,Pos,target,910
Set 1,Pos,target,996
Set 1,Pos,target,603
Set 1,Pos,target,114
Set 1,Pos,target,917
Set 1,Pos,target,992
Set 1,Pos,target,946
Set 1,Pos,target,215
Set 1,Pos,target,978
Set 1,Pos,target,982
Set 1,Pos,target,999
Set 1,Pos,target,996
Set 1,Pos,target,980
Set 1,Pos,target,993
Set 1,Pos,target,7
Set 1,Pos,target,996
Set 1,Pos,target,999
Set 1,Pos,target,1
Set 1,Pos,target,1000
Set 1,Pos,target,788
Set 1,Pos,target,996
Set 1,Pos,target,985
Set 1,Pos,target,996
Set 1,Pos,target,999
Set 1,Pos,target,996
Set 1,Pos,target,992
Set 1,Pos,target,995
Set 1,Pos,target,995
Set 1,Pos,target,995
Set 1,Pos,target,999
Set 1,Pos,target,613
Set 1,Pos,target,987
Set 1,Pos,target,997
Set 1,Pos,target,999
Set 1,Pos,target,705
Set 1,Pos,target,996
Set 1,Pos,target,999
Set 1,Pos,target,996
Set 1,Pos,target,679
Set 1,Pos,target,986
Set 1,Pos,target,853
Set 1,Pos,target,974
Set 1,Pos,target,999
Set 1,Pos,target,996
Set 1,Pos,target,996
Set 1,Pos,target,999
Set 1,Pos,target,770
Set 1,Pos,target,999
