dataset,vendor,nist,group,polarity,total_ms2,wasted,unassigned,polysiloxane,sodium formate,sodium acetate,PEG,PPG,PTFE/PFPE,other named series
MTBKS222_Waters,Waters,1,corpus,Pos,11554,0.6058507876060238,0.6058507876060238,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MTBKS222_Waters,Waters,1,corpus,Neg,3570,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MTBKS222_Thermo,Thermo,1,corpus,Pos,13088,41.25916870415648,24.79370415647922,0.0,15.250611246943766,0.0,1.2148533007334963,0.0,0.0,0.0
MTBKS222_Thermo,Thermo,1,corpus,Neg,10938,63.494240263302245,55.238617663192535,0.0,0.0,8.255622600109708,0.0,0.0,0.0,0.0
MTBKS222_Agilent,Agilent,1,corpus,Pos,18413,16.87937869983164,14.907945473306903,0.0,0.0,0.5648183348721012,1.1024819421061207,0.30413294954651604,0.0,0.0
MTBKS222_Agilent,Agilent,1,corpus,Neg,19197,36.088972235245095,30.338073657342292,0.0,0.0,5.20393811533052,0.0,0.5469604625722769,0.0,0.0
MTBKS222_IMS_Normal,Sciex,1,corpus,Pos,31697,9.108117487459381,6.278196674764174,0.0,0.0,0.0,0.0,2.8299208126952076,0.0,0.0
MTBKS222_IMS_Normal,Sciex,1,corpus,Neg,21698,9.258917872614987,5.631855470550281,0.0,0.0,0.0,0.0,3.627062402064706,0.0,0.0
MTBKS222_IMS_HighMass,Sciex,1,corpus,Pos,42237,9.498780689916424,5.802968960863698,0.0,0.0,0.0,0.2604351634822549,3.4353765655704716,0.0,0.0
MTBKS222_IMS_HighMass,Sciex,1,corpus,Neg,26983,9.520809398510172,6.618982322202868,0.0,0.0,0.0,0.0,2.9018270763073044,0.0,0.0
MTBKS222_BrukerBAF,Bruker,1,corpus,Pos,63801,55.101017225435335,39.333239290920204,5.357282801210013,0.0,0.0,9.634645224996472,0.0,0.0,0.7758499083086472
MTBKS222_BrukerBAF,Bruker,1,corpus,Neg,108546,62.58360510751202,57.418974444014516,0.0,0.18517494886960367,2.598898162990806,1.4325723656330036,0.0,0.0,0.9479851860040904
MTBLS5163,Bruker,0,corpus,Pos,91331,0.3098619307792535,0.3098619307792535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ST003077,Thermo,0,corpus,Pos,214547,25.937906379487945,23.708558031573503,0.5085132861331084,0.0,0.0,0.7699944534297846,0.0,0.0,0.95084060835155
ST003077,Thermo,0,corpus,Neg,212585,30.491803278688522,23.054778088764493,0.0,3.4085189453630313,0.9803137568502011,0.0,2.235811557729849,0.8123809299809487,0.0
ST003514,Agilent,1,corpus,Pos,19317,40.17186933788891,27.6543976807993,0.0,0.0,0.0,12.51747165708961,0.0,0.0,0.0
ST003514,Agilent,1,corpus,Neg,7344,51.93355119825708,47.00435729847495,0.0,0.0,4.929193899782136,0.0,0.0,0.0,0.0
ST004797,Sciex,0,corpus,Pos,657191,18.855857733900798,15.677634051592307,0.15064113781229505,0.16235767075325133,0.03849717966314207,2.4577329878224137,0.1803128770783532,0.0,0.18868182917903623
ST004797,Sciex,0,corpus,Neg,219087,13.169654064367123,7.949809892873608,0.5495533737738889,1.562393021950184,2.18452030471913,0.10543756589847869,0.0,0.20676717468402964,0.6111727304678051
ST004797_oxtg,Sciex,0,corpus,Pos,118208,14.779033567948025,13.920377639415268,0.0,0.0,0.0,0.6573159177043855,0.09051840822956145,0.0,0.11082160259880888
MSV000095868,Agilent,0,corpus,Pos,92611,23.224023064214837,23.224023064214837,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSV000095868,Agilent,0,corpus,Neg,36619,53.47770283186324,53.47770283186324,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ST000991_DDA,Sciex,0,corpus,Pos,25832,34.84825023227005,20.896562403220813,0.6929389903995045,0.0,0.0,12.825178073707031,0.4335707649427067,0.0,0.0
ST002705,Bruker,0,corpus,Pos,33054,7.753978338476432,7.753978338476432,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ST002705,Bruker,0,corpus,Neg,26446,31.67964909627165,24.234288739317854,0.0,7.445360356953793,0.0,0.0,0.0,0.0,0.0
ST003052,Thermo,0,corpus,Pos,837008,36.85568118823237,31.108424292240933,0.8934203735209222,0.09235276126393058,0.0,4.761483761206583,0.0,0.0,0.0
ST003052,Thermo,0,corpus,Neg,288448,52.892029065897496,36.376053916130466,0.0,6.815093188373641,9.700881961393389,0.0,0.0,0.0,0.0
Set 1 (Q Exactive),Thermo,0,in-house,Pos,83190,23.228753455944222,18.879673037624713,1.2008654886404615,0.0,0.0,3.1482149296790483,0.0,0.0,0.0
Set 1 (Q Exactive),Thermo,0,in-house,Neg,76503,64.05631151719541,16.947047828189742,34.220880226919206,1.972471667777734,6.079500150320903,0.0,0.0,2.403827300890161,2.4325843430976564
Set 2 without lists (Fusion Lumos),Thermo,1,in-house,Pos,27347,39.514389146889975,31.645153033239477,5.872673419387867,0.208432369181263,0.0,1.7881303250813618,0.0,0.0,0.0
Set 2 without lists (Fusion Lumos),Thermo,1,in-house,Neg,22996,62.73699773873717,30.944512089058968,0.0,31.792485649678206,0.0,0.0,0.0,0.0,0.0
Set 2 with lists (Fusion Lumos),Thermo,1,in-house,Pos,25904,14.893452748610253,14.893452748610253,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Set 2 with lists (Fusion Lumos),Thermo,1,in-house,Neg,15061,22.88028683354359,19.24838988114999,0.0,1.4076090565035524,0.0,2.224287895890047,0.0,0.0,0.0
