polarity,file,lipidex_dot,ours_dot,name
Pos,Blank_Pos,990,990,PC 10:0_26:2
Pos,Blank_Pos,993,993,PE 18:1_18:1
Pos,Blank_Pos,978,978,PC 10:0_26:2
Pos,Blank_Pos,875,875,PC 10:0_26:2
Pos,Blank_Pos,996,996,PC 11:0_26:2
Pos,Blank_Pos,968,968,PC 11:0_24:1
Pos,Blank_Pos,919,919,PC 11:0_26:2
Pos,Blank_Pos,511,511,TG 16:0_18:2_18:2
Pos,NIST_Pos_01,843,843,LysoPC 18:3
Pos,NIST_Pos_01,937,937,LysoPC 20:5
Pos,NIST_Pos_01,951,951,LysoPC 18:3
Pos,NIST_Pos_01,965,965,LysoPC 14:0
Pos,NIST_Pos_01,947,947,LysoPC 16:1
Pos,NIST_Pos_01,937,937,LysoPC 22:6
Pos,NIST_Pos_01,951,951,LysoPC 15:0
Pos,NIST_Pos_01,957,957,LysoPC 16:1
Pos,NIST_Pos_01,984,984,LysoPE 20:4
Pos,NIST_Pos_01,997,997,LysoPE 18:2
Pos,NIST_Pos_01,953,953,LysoPC 18:2
Pos,NIST_Pos_01,949,949,LysoPC 22:5
Pos,NIST_Pos_01,955,955,LysoPC 20:3
Pos,NIST_Pos_01,959,959,LysoPC 16:0
Pos,NIST_Pos_01,942,942,LysoPC 18:1
Pos,NIST_Pos_01,951,951,LysoPC 20:3
Pos,NIST_Pos_01,947,947,LysoPC 17:0
Pos,NIST_Pos_01,934,934,LysoPC 20:2
Pos,NIST_Pos_01,954,954,LysoPC 18:1
Pos,NIST_Pos_01,954,954,LysoPC 17:0
Pos,NIST_Pos_01,907,907,LysoPC 20:2
Pos,NIST_Pos_01,826,826,LysoPC 20:1
Pos,NIST_Pos_01,947,947,LysoPC 18:0
Pos,NIST_Pos_01,942,942,LysoPC 19:0
Pos,NIST_Pos_01,733,733,PC
Pos,NIST_Pos_01,795,795,PC
Pos,NIST_Pos_01,997,997,PC 14:1_22:4
Pos,NIST_Pos_01,719,719,PC
Pos,NIST_Pos_01,997,997,PC 14:1_20:2
Pos,NIST_Pos_01,731,731,PC
Pos,NIST_Pos_01,994,994,PC
Pos,NIST_Pos_01,995,995,PC 16:1_22:6
Pos,NIST_Pos_01,996,996,PC 12:0_24:4
Pos,NIST_Pos_01,992,992,PC 14:1_20:2
Pos,NIST_Pos_01,997,997,PC
Pos,NIST_Pos_01,720,720,PC 12:0_22:2
Pos,NIST_Pos_01,785,785,PC 14:1_22:2
Pos,NIST_Pos_01,789,789,PC
Pos,NIST_Pos_01,797,797,PC 14:0_24:4
Pos,NIST_Pos_01,878,878,PC
Pos,NIST_Pos_01,725,725,PC
Pos,NIST_Pos_01,635,635,PC 18:3_22:4
Pos,NIST_Pos_01,999,999,SM d18:1_15:1
Pos,NIST_Pos_01,898,898,PC 13:0_22:5
Pos,NIST_Pos_01,996,996,PC 10:0_24:4
Pos,NIST_Pos_01,890,890,PC
Pos,NIST_Pos_01,775,775,PC
Pos,NIST_Pos_01,817,817,LysoPC 24:0
Pos,NIST_Pos_01,654,654,PC
Pos,NIST_Pos_01,997,997,PC 14:1_22:4
Pos,NIST_Pos_01,975,975,SM d19:0_15:1
Pos,NIST_Pos_01,997,997,PC 10:0_22:2
Pos,NIST_Pos_01,987,987,PI 12:0_24:4
Pos,NIST_Pos_01,997,997,PC 14:1_22:4
Pos,NIST_Pos_01,997,997,PC 10:0_22:2
Pos,NIST_Pos_01,997,997,PC 14:1_20:2
Pos,NIST_Pos_01,1000,1000,SM d18:0_18:3
Pos,NIST_Pos_01,975,975,PI 14:1_24:4
Pos,NIST_Pos_01,1000,1000,SM d19:0_14:1
Pos,NIST_Pos_01,678,678,PI 12:0_22:2
Pos,NIST_Pos_01,943,943,PE 18:2_18:2
Pos,NIST_Pos_01,997,997,PC 14:1_20:2
