set,polarity,threshold,targets,decoys,decoy_fraction_pct
Set 1,Pos,0,14917,140,0.93
Set 1,Pos,200,13384,19,0.14
Set 1,Pos,300,12837,16,0.12
Set 1,Pos,400,12547,15,0.12
Set 1,Pos,500,12275,15,0.12
Set 1,Pos,600,11921,14,0.12
Set 1,Pos,700,11191,9,0.08
Set 1,Pos,800,10071,3,0.03
Set 1,Pos,900,8442,1,0.01
Set 1,Neg,0,4910,147,2.91
Set 1,Neg,200,3917,28,0.71
Set 1,Neg,300,3746,21,0.56
Set 1,Neg,400,3576,19,0.53
Set 1,Neg,500,3432,19,0.55
Set 1,Neg,600,3223,19,0.59
Set 1,Neg,700,2755,19,0.68
Set 1,Neg,800,1946,17,0.87
Set 1,Neg,900,1181,15,1.25
Set 2,Pos,0,3624,57,1.55
Set 2,Pos,200,3247,5,0.15
Set 2,Pos,300,3180,2,0.06
Set 2,Pos,400,3144,1,0.03
Set 2,Pos,500,3092,1,0.03
Set 2,Pos,600,2979,1,0.03
Set 2,Pos,700,2800,1,0.04
Set 2,Pos,800,2482,0,0.00
Set 2,Pos,900,1840,0,0.00
Set 2,Neg,0,885,17,1.88
Set 2,Neg,200,731,0,0.00
Set 2,Neg,300,716,0,0.00
Set 2,Neg,400,698,0,0.00
Set 2,Neg,500,660,0,0.00
Set 2,Neg,600,626,0,0.00
Set 2,Neg,700,588,0,0.00
Set 2,Neg,800,486,0,0.00
Set 2,Neg,900,351,0,0.00
